,0
52,virginamerica disappointing experience shared every business traveler meet neverflyvirgin
53,virginamerica trouble adding flight wife booked elevate account help httptcopx8hqoks3r
54,virginamerica site back
55,virginamerica like tv interesting video disappointed cancelled flightled flight flight went jfk saturday
56,virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin
57,virginamerica website btw new website isnt great user experience time another redesign
58,virginamerica cant check add bag website isnt working ive tried desktop mobile httptcoavyqdmpi1y
59,virginamerica let 2 scanned passenger leave plane told someone remove bag 1st class bin uncomfortable
60,virginamerica phone number cant find call flight reservation
61,virginamerica anyone anything today website useless one answering phone
62,virginamerica must traveler miss flight late flight check bag missed morning appointment lost business sfo2lax
63,virginamerica hows direct flight fllgtsfo unexpected layover vega 4 fuel yet peep next bought vega flight sneaky
64,virginamerica late flight bag check lost business missed flight apt three people flight exp
65,virginamerica amazing customer service raeann sf shes best customerservice virginamerica flying
66,virginamerica called service line hung awesome sarcasm
67,virginamerica site tripping im trying check im getting plain text version reluctant enter card info
68,virginamerica getaway deal may 59 oneway lot cool city httptcotzzjhuibch cheapflights farecompare
69,virginamerica getaway deal may 59 oneway lot cool city httptcob2xi4yg5t8 cheapflights farecompare
70,virginamerica great week
71,virginamerica come back phl already need take u horrible cold pleasecomeback httptcoglxfwp6nqh
72,virginamerica concerned fly plane need delayed due tech stop
73,virginamerica best airline flown oneasy change reservationhelpful representative amp comfortable flying experience
74,virginamerica another rep kicked butt naelah represents team beautifully thank
75,virginamerica beautiful frontend design right cool still book ticket bc backend secure
76,virginamerica love team running gate e9 la tonight waited delayed flight kept thing entertaining
77,virginamerica use another browser 2015 amp brand reputation built tech response doesnt crossbrowser compatible website
78,virginamerica flight flight booking problem site totally folk problem
79,virginamerica like customer service 40 min delay connecting passenger seems long va370
80,virginamerica thanks outstanding nycjfk crew moved mountain get home san francisco tonight
81,virginamerica absolute best team customer service ever every time fly im delighted thank
82,virginamerica need change flight thats scheduled 9 hour 120 min wait time phone im calling intern help
83,virginamerica completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue
84,virginamerica failing customer check process link tsa precheck
85,virginamerica fidifamilies u terrible airline gave u hotel hotline number said sorry
86,virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give u hotel hotline shame
87,virginamerica another delayed flight likingyoulessandless
88,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise
89,virginamerica rock making watch oscar flight redcarpet oscar oscars2015
90,virginamerica always xoxo
91,virginamerica cant book seat flight buy even check creates much anxiety frustrated
92,virginamerica youd think paying extra 100 buck rt luggage might afford hiring extra hand sfo lame
93,virginamerica best customer service rep world irmafromdallas take cake
94,virginamerica please provide status flight 769 cant imagine time web indicates dude weather andor dallas
95,virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort
96,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face
97,virginamerica question possible book seat infant 2 giving option want seat
98,always together youre welcome rt virginamerica jessicajaymes youre welcome
99,virginamerica flight home dc sunset globe backtowinter back work refreshed httptcovx9vbctdlf
100,virginamerica dont understand need dm give answer damaged luggage policy
101,virginamerica mean dont policy destroyed luggage
102,virginamerica thank checking ticket purchased customer happy
103,virginamerica problem flight booking problem web site keep giving error contact phone phone 30 minute wait
104,virginamerica reschedule cancelled flightled flight online change button greyed
105,virginamerica rang wait 35 minute book ticket vendor fix site
106,virginamerica got flight told 450 todaychecked email 450 tomorrow unacceptable
107,virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today12
108,virginamerica dont pairing include red wine white offered redwineisbetter
109,virginamerica website
110,virginamerica site seems little wonked right may want look tried two browser cs httptco8qsqmm7kf2
111,virginamerica im disappointed agent designated silver status check line dullesairport closed assist pasengers
112,virginamerica normal receive reply central baggage baggageissues smh
113,virginamerica logan airport waiting checkin 9am flight checkin desk open
114,virginamerica congrats got business ewr sfolax fuck united fl1289 sfoewr clincher
115,virginamerica applied 2 week ago havent heard back im flying week disappointed
116,virginamerica thank follow
117,virginamerica many apology r worse airline dont even respond cudtomers
118,virginamerica shame va making people spend money stranded city airline landing jfk reimburse
119,virginamerica bad say take 10 14 day via confirmation email inquired 3 week claim 6 8 week
120,virginamerica flight bos gt la tomorrow cancelled flightled notification wait time 1 hour rebook another airline
121,rt virginamerica met match got status another airline upgrade restr httptcorhkamx9vf5 httptcopyalebgkjt
122,virginamerica way fly elevate gold
123,virginamerica lot apology thrown customer seevery sad thanks nothing worst airline ever
124,virginamerica flight stuff wrong nothing worst flight ever
125,virginamerica match americanairlines status cool
126,virginamerica trying book flight guy website wont let lose business
127,virginamerica suck
128,virginamerica thanks
129,virginamerica dmd issue persisting
130,virginamerica never recd cancelled flightlation notice left w option fly p driving la red eye mon w kid
131,virginamerica trying book flight amp site
132,virginamerica flight flying boston tomorrow need home cancelled flightled flight didnt anything
133,virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better
134,virginamerica love guy song dancing high school dance revue
135,virginamerica website im trying check
136,virginamerica done thank quick response apparently faster sitting hold
137,virginamerica cool picture another virginamerica plane wing site httptco5b2agfd8c4
138,virginamerica keep great work
139,virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny
140,virginamerica thanks great flight la boston pilot great job landing snow go back la seriously
141,virginamerica thanks much awesome support guy rock
142,virginamerica seat row 8 dont recline mention website soreback
143,virginamerica flight 404 delayed 2 hour la due mechanical problem handle like pro could tossed u free drink
144,virginamerica cancelled flight flight today precipitation scared
145,virginamerica twitter team guy killed rescheduling asap thank
146,virginamerica guy charged 100 reschedule flight cancelled flighted refusing refund whats deal
147,virginamerica access website safari iphone 6 seems work mac ipad need iphone add passbook
148,virginamerica mobile site broken show headerelevateusernumofpointsavailable 0 number point wont let checkin
149,virginamerica really looking forward flight let know rescheduled diehardvirgin
150,virginamerica cancelled flight flight vx413 one sec delayed airport next cancelled flightledgonna email call reschedule
151,virginamerica problem link email checkin thanks
152,virginamerica change another airline get dc today united able land dc cost 800 ugh
153,virginamerica looking forward first flight today cancelled flightled along subsequent one
154,virginamerica putting great deal pdx la la pdx show love httptcoeniqg0buzj
155,virginamerica wish afford fly next friday going back home love everything airline
156,virginamerica gonna deal dallas dc deal dc dallas sad
157,virginamerica hold time call center bit much
158,virginamerica like httptcovpqem31xuq
159,virginamerica site help
160,virginamerica best flight attendant ever httptcopxdel1nq3l
161,awesome rt virginamerica watch nominated film 35000 foot meetthefleet oscar httptcodnstitrzwy
162,virginamerica thanks much
163,virginamerica trying reset password email never arrives help
164,virginamerica airline based silicon valley disruption fcmostinnovative incubator fastcompanys httptcowu3lbcncr9
165,virginamerica nicely done
166,virginamerica looking forward watching oscar flight home tomorrow might even get something bubbly drink
167,virginamerica reason delay departure vx 413 jfk afternoon
168,virginamerica today flight palm spring ca jfk ny cancelled flightled
169,virginamerica hahaha virginamerica guy amazing love guy
170,virginamerica sound like fun
171,virginamerica cs site 404 right please fix site unusable
172,virginamerica flight 910 vega boston today checked online bag count didnt register fix somehow
173,virginamerica classiq luv virgin america greetingz
174,virginamerica hi im trying checkin website working tried 3 different browser problem continues
175,virginamerica thanks great customer service today amp helping get travel sorted
176,virginamerica thanks guy sweet route rockies airplanemodewason
177,virginamerica love 90 music blasting gate boston waiting flight sanfrancisco could get iced coffee
178,virginamerica passenger 7d flt 338 assaulted shouldnt flown trust he banned crew filed report faanews
179,virginamerica current bug website show select departure city selecting destination city httptcosllyibe2vq
180,virginamerica luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help
181,virginamerica thank easy itinerary shift impending weather quick painless amp free
182,virginamerica thanks good time back vodkatonics entire flightsfo
183,virginamerica youre great job adding little luxuriesaesthetics improve air travel experience thank keep
184,virginamerica requested window seat confirmed window got stuck middle seat good way treat silver member
185,virginamerica wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience
186,virginamerica something wrong website safari iphone
187,virginamerica thanks gate checking baggage full flight dfwlax 883 giving early boarding sweet
188,virginamerica already checked page expired x
189,virginamerica boo refunding seat upgrade fee want buy first place
190,virginamerica see
191,virginamerica inflight team make experience amazing
192,virginamerica cutest salt pepper shaker ever think guy cant get better httptcovc6keulg2j
193,virginamerica moved seat notice better seat cabin select behind row selected disappointed
194,virginamerica fav airline
195,virginamerica hot female pilot sweet dca sfo
196,virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help
197,virginamerica thank
198,virginamerica anything going website ive getting lot error past 30 minute
199,virginamerica virginatlantic checked flight sfo lax amp told atlantic flying club gold get benefit
200,virginamerica husband ordered three drink via screen never came awesome
201,virginamerica soooo guy going leave seatbelt light flight barely call turbulence
202,virginamerica funny story website broken missing javascript stylesheets checkin process dislike
203,virginamerica would love virgin like gopro
204,virginamerica im trying check 1050am ct flight tmm desktop website working sort caching bug so
205,virginamerica guy know checkin link email broken httptco2npxb6obmr
206,virginamerica loved cant wait monday return flight mostly watch inflight safety video sorrynotsorry
207,virginamerica lost luggage 4 day ago flight vx 112 lax iad amp im calling every day responseplease give back stuff
208,virginamerica flight booking problem section website seems broken chrome might wanna look
209,virginamerica hi wanted see new route planned year newark love flying guy hope
210,virginamerica mean probably inappropriate board
211,virginamerica happy spend day together let
212,virginamerica understanding helped thx comp
213,virginamerica thank absolutely
214,virginamerica look like broken link asset httpstcooardjjgrrd
215,virginamerica manage itinerary section website seems broken httpstco2pujvcelng
216,virginamerica cant check site look like every time load httptcokacy2awdbw
217,virginamerica carrier le half price round trip fare stunned httptcoukdjjijrow
218,virginamerica wtf happening pdx late flight march one way sfo 550
219,virginamerica free drink flight back free promo
220,virginamerica ssal thanks
221,virginamerica luggage gone ive filed paperwork promised callemail still resolution response central luggage
222,virginamerica thanks
223,virginamerica thanks taking care suuperg flight rockstars travel
224,virginamerica thanks lovely soft view travel san sfo httptcocnctl7g1ef
225,virginamerica requested mileage challenge status several week ago online havent heard back get help
226,virginamerica trying book ticket nyc facing super fun broken styling dont worry ill keep trying
227,virginamerica applied status match feb 1 got confirmation email day still news though guy dropped ball late flightly
228,virginamerica adore looking forward flight austin two week
229,virginamerica glad mentioned took first virgin flight year back transformative experience
230,virginamerica trying checkinbut look like site
231,virginamerica spending birthday night daldca get home
232,virginamerica sent couple message email provided avail try next year cheer
233,virginamerica first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline
234,virginamerica seriously though direct flight sfofll may
235,virginamerica fine already done purchase try go way go back 3
236,virginamerica really experience hoping 4 w forced 2 check small carry w nothing empty cabin space board
237,virginamerica wjere luggage slow lax
238,virginamerica spoke representative offered solution loyal customer fly virginatlantic well
239,virginamerica deeply disappointed birthday promo applied trip booked mere day received email
240,virginamerica happened direct flight sfofll looking may see connecting help dontdothistome
241,virginamerica promoting product problem southwest recommend noneother best httptcotfanxbh1cf
242,virginamerica love guy pls get direct route la au
243,virginamerica course work virginatlantic im obsessed entire virgin family
244,virginamerica ok first time flying tonight
245,virginamerica 2d 3d embossed badge patch superior one currently using httptco3fq3xelbon
246,virginamerica vx399 jfk la dirty plane standard
247,virginamerica flight vx399 headed la jfk dirtiest va plane ever sad great airline
248,virginamerica got squared away someone picked soon tweeted tweeted sooner
249,virginamerica avis rental continue button doesnt work website book car tried 4 time phone suck
250,virginamerica delayed to1030
251,virginamerica currently minute 10 hold cust service need anything add lap child reservation
252,virginamerica karinslee course fun celebrating thanks happy chinese new year
253,virginamerica flight booking problem last second flight next week sfo san chance want gift promo code since love guy
254,virginamerica comenity bank joke please change nothing constant problem bank
255,virginamerica grandma ellas 80th would lt3 bday greeting flight crew stewardess eastern airline
256,virginamerica bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever
257,virginamerica gave credit late flight flight yesterday great service thats wow moment unexpected gesture
258,virginamerica submitted status match request back still heard flying monday look accelerate
259,virginamerica safety video httptcocqmm7nue9m loved first cross country flight livewelltraveled sytycd
260,virginamerica doesnt look fat look yummy
261,virginamerica omg omg nonstop dallas austin virgin
262,virginamerica plane really pretty thought u know
263,virginamerica im pulling hair trying book flight u site doesnt work iphone ipaddont computer help
264,virginamerica thank
265,virginamerica get help support ticket 15 day incident 150202000419 thank
266,virginamerica good home texas moodlighting httptcon3bvzty3zi
267,virginamerica cannot even open laptop seat 4c paid premium let
268,virginamerica seat 4c cannot even open laptop paid extra seat
269,virginamerica thanks needing way make austin trip dca youve come
270,virginamerica cool never ur plane
271,virginamerica great well deserved
272,virginamerica fyi infovirginamericacom email address say contact password reset email doesnt exist email bounce
273,virginamerica status match 2 week gone newsflt next week hope flt count towards requirement cust svc help
274,virginamerica website suck donkey dick thought know best
275,virginamerica crap channel pay watch uk tv
276,virginamerica got set thanks
277,virginamerica giant virgin america match made heaven
278,virginamerica thank goodness also see friday nwkgtsf boom
279,virginamerica come dont iphone app still using making waste paper
280,virginamerica back seat entertainment system accept credit card apostrophe surname apostrophefail
281,virginamerica vx use 6 lga slot instead 4 today adding au make le likely
282,virginamerica luv ur people product 1 thing u charge herbal tea black tea im caffeine drinker
283,virginamerica thank see yall soon im excited see expansion destination spread wing
284,virginamerica sad learn longer fly sfo gt phl hope return
285,virginamerica incredible customer service ive ever experienced refreshing
286,virginamerica dreaming really open route dallas austin mean houston might next
287,virginamerica omg finally
288,virginamerica kinda sucked earphone jack didnt work flight may want look future passenger
289,virginamerica poor experience first computer problem seat malfunction stuck missing meeting san diego
290,virginamerica thankyou dalaus route make day
291,virginamerica awesome deal dalaus 39 way httpstcoxcvqxykg49
292,virginamerica love taking southwestair backyard consumer win biz competes
293,virginamerica flying love austin excellent news
294,virginamerica congrats vx new route
295,virginamerica tried offered charge additional 1k new ticket stranded thurs 1st time last time
296,virginamerica never bad experience one took cake extortion carry item well
297,virginamerica spend 5 hour worrying item carryon would brokenstolen since couldnt carry plane lock bag
298,virginamerica group e told room bin got plane room least 4 bag row
299,virginamerica thanks making flight lax jfk nightmare forcing check carry bag gate 1
300,virginamerica lot flight book site working ive phone waiting 10 minute
301,virginamerica flight artisanal cheese wine pairing
302,virginamerica thats classy
303,virginamerica im sure lot 747 777 jfklhr flight go lot faster 513mph strong tailwind
304,virginamerica tminus 32 minute elevate silver upgrade window open freeneversucks
305,virginamerica taking 12 year fly home dallas get shit together
306,virginamerica jezziegoldz would rough trip luckily virginamerica flight weather
307,virginamerica another perfect flight come plane sun visor stay carrier make raise
308,nice rt virginamerica man steel might faster wifi saying sciencebehindtheexperience httptcofgrbpazsix
309,virginamerica love dancing little richard cool bean
310,virginamerica use passbook still love though lt3 use email future
311,virginamerica thanks free birthday point yall right
312,virginamerica man steel fly city thoughand frequency
313,virginamerica thanks much sharing added site httptcotsvibtvt8h
314,virginamerica dad segway best part whole infographic
315,virginamerica plan short haul airline europe would defiantly fly guy
316,virginamerica wifi better seating
317,virginamerica started flight scolding using overhead bin offered person seated next
318,virginamerica great return call day couldnt ask myvxexperience
319,virginamerica airline werent cancelled flighting flight bos helping customer get home virgin saying good luck
320,virginamerica grouping virgin others bos weather exposed actual cu serv model never flight booking problem virgin
321,virginamerica one traveler affected boston storm im shocked virgin complete apathy toward customer
322,virginamerica umm reason someone different contact contact get definitive answer
323,virginamerica trying make change advance 24 hour priortried online earlier wanted 300 change fee
324,virginamerica loyal im driving nyc pa fly virgin since cut philly flight
325,virginamerica guy perfect always lt3 wervirgin
326,virginamerica thanks yall best customer service left industry
327,virginamerica really wish youd fly fargo fargoairport fare amazings
328,virginamerica mood lighting point reclining seat kickin foot
329,virginamerica flight 6000 scheduled 1pm departure still say time plane gate update long delay
330,virginamerica group got cancelled flightlation fee waived cant ticket booked 218 rep help either
331,virginamerica got 1pm newark home la folk ewr incredible letsgohome
332,virginamerica flying lax sfo looking awesome movie lineup actually wish long haul
333,united thanks
334,united thanks taking care mr happy customer
335,united still refund word via dm please resolve issue cancelled flightled flight useless assistant trip
336,united delayed due lack crew delayed there long line deicing still need improve service united
337,united thanks filled hows luck common
338,united eriord express connection hugely popular could eriewr hop
339,united think boarded flight au1066 early think
340,united gate agent hooked alternate flight way prevent constant issue would rock
341,united thanks
342,united thanks ticket
343,united worst nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade
344,united cheertymedad buy tix 3 day flight cant transfer tix flawed security logic flawed customer service
345,united start claim 810 week unrealistic really supposed go long car seat childridiculous
346,united follow please airline beautifull
347,united car seat lost united reimburse new one pair shoe necessity child
348,united highbuddyyy totally suck cousin worked phl said united
349,united wanted let know wonderful rosetta gate agent working flight 6457 dan ase let know wasappreciated
350,united beginning feb called united said would send another voucher mail never got anything tiredofwaiting
351,united internet great thing emailing executive company maybe respond timely manner
352,united thats weak see ya hey virginamerica
353,united flew back w company since united didnt earlier flight
354,united trying book award september need flight aegeanairlines show even w many award seat availab
355,united sure drive total 3 hour get bag id like explain debacle one want talk
356,united see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue
357,united preferred security line anymore tsa precheck didnt pull silverairways partner flight platinum spoiled
358,united newarkliberty airport need indicate different gate terminal aampc flyingainteasy
359,united yes please newly married trying update last name preexisting international flight seems easy
360,united united refuse reissue 400 lost voucher plane didnt take due mechanic badcustomerservice
361,united also run instructed shattered computer httptcooaflfr7wxb
362,united yes weve agent last 50 minute one agent rude thankfully ladan nice
363,united iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer
364,united thanks helpgot need issue austrian guess sit awhile longer
365,united uctraveladvisor would loved respond website saw really long form business new seat bad
366,united refund flight voucher another flight different airline expense today 8 hour drive inconvenient
367,united received call back 3 daysits infant car seat supposed go anywhere child
368,united well sitting ground time waiting gateagain tiredofthis
369,united airport snow removal method 22 keep good work folk cessnas become 747s httptco9v8tmusjvu
370,united need guy book plane concern ill travel someone else moving forward
371,united measly 50 ecertificate appreciate loyal customer wait 3hrs tarmac ua1116 unacceptable
372,united email addressusername signon available
373,united thank able claim interim expense cost stuff
374,united rude rude
375,united cant get boarding pas austrian airline codeshare flight rebook incls 6 hour layover amp stuck outside sec
376,united received flight united truly break guitar unitedbreaksguitars wantmymoneyback
377,united flew telaviv paid 100 third suitcase didnt even make plane besides impolite service
378,united bag still colo spring disabled search unfamiliar airport look bag good outcome
379,united shame there flex ticket transfer rule even calling neurosurgery icu isnt enough
380,united denver said dont handle baggage made colo spring gave 800 number call help either
381,united guy need serious training customer service many better option put way guy handle ur mistake
382,united found problem avoided like plague told cant find supervisor
383,united zcc82u cancelled flight flight 16h advance need connect flight reschedule link isnt helping help gf waited month see
384,united flying
385,united addition first flight delayed hour im arriving destination 8 hr late flight
386,united flew united last month experience awesome
387,united travel booked thru united group dept okc ticket agent le willing help connection lax
388,united v upset disability service told one employee carrying medical equipment rude
389,united thnx quick reply dont think assist intl grp put considerable inconvenience today
390,united wont transfer flight ticket accompany 11 yr old who active military mom emergency brain surgery wow
391,united getmeontop 7 week late flightr still received mile mileageplus gift card 150 starbucks card handed
392,united 1k im always hoping improvement
393,united yet complained guy checked luggage throwing bag around unfortunate coincidence hope
394,united okc ticket agent roger mclarrensp le helpful intl group travel problem cant find supervisor help
395,united mobile apps need construction ground o category expensive get right
396,united another fail united ticket agent okc le helpful could care le problem american come
397,united 441 also 1 working wc coach good thing bird landed ahead schedule use wc stat
398,united sent email customer care telling may break sincerely hope help
399,united silly im flying delta today united club staff attendant surly unhelpful always seem bothered pesky folk
400,united phone number cant find call flight reservation
401,united well cant fix missing buddy 30th bday negligence attempt make
402,united believe help customer service couldnt like said want number someone fix
403,united helped baggage service desk said bc tsa screening fll bag made bag ewr 12
404,united mobile boarding pas disappeared phone standing line board second time week hmm
405,united record rozana newark lovely helpful choosekind
406,united thx update
407,united explain eager flight attendant trying ask vision ccicanine guide dog
408,united whats point asking detail servicedog book flight crew doesnt read continued
409,united tried one available bogota everyone rude houston stuck 35 hour guy
410,united worst2unitedflightsever ua 236 la iad 224 mechanical problem took land fix delayed wtfodds
411,united despite bag making newark good informative email tracking update help
412,united whats going ua 236 outbound flight last thurs delayed 4hrs long delay worst2unitedflightsever
413,united worst2unitedflightsever ua1429 iad la 219 mechanical problem switched aircraft delayed 35 hour
414,united crashed trying check
415,united wow deal 30 plus seat available easy change make customer happy
416,united 768 logan boarding gong show due lax carry enforcement bin full coat room bag u need better system
417,united blackmailed paying 130 extra return ticket nullified san francisco airport terrible service rep scam
418,united disappointed u didnt honor 100 credit given ur mistake taking business elsewhere
419,united ua1673 still waiting supposed depart 908
420,united credit last trip never came mail
421,united ok 7 month waiting hear airline gave quite bit 30 day requested terrible service
422,united process ever end still waiting reply since 2 month pathetic customerservice
423,united whats going website im flight booking problem three ticket today ive booted system umpteen time
424,united get account number website say email unavailable
425,united received 1 bag last night still missing one
426,united simonroesner youll need upgrade seat even economy plus like sitting concrete bench
427,united 2nd flight also delayed pilot boarded sit scheduling
428,united hard stay upset someone least try show remorse
429,united way simple apology go long way even hollow one obvious dont care wellbeing
430,united isnt one time thing either shocking pattern repeated neglect disrespect
431,united finger crossed amp intact disappointed experience actually saying enjoyed using
432,united incredibly easy fix would rather stay comfort zone get forced mine
433,united july zero excuse outofdate system cause problem like
434,united everyone around u sitting friend family member booked ticket october december bought
435,united sure talking going nonstop flight sna sfo sfo ewr
436,united im moving americanair united talk service
437,united asked legitimate question systemwide v localized problem got back unrelate flightd copypaste better
438,united time call need ski go airport get faith united
439,united see guy amazing one company continually make mistake yet fails held accountable error
440,united yeah sorry there always problem united international reputation problem
441,united maybe bbbnesdksia would care hear went whoever listens issue caused
442,united wonder sharing fb insta would produce number 140 character really limit story telling
443,united youre telling number call left airport negligent pilot staff
444,united could email resent doesnt appear arrived
445,united follow order dmcome
446,united 25 united coupon make broken entertainment system 9hour flight seriously ridiculousness learncustomerservice
447,united didnt drop bag overnight amp im leaving week supposed hold bag
448,united dm detail still response book today
449,united able dm confirmation number
450,united ive sent message let know got im twitterliterate also really going stuck 18hrs
451,united unhappy response complaint emailed 2nd feb ref8441639 awful customer service
452,united private jet would cool work ill try
453,united given option using united travelbank recent flight booking problem help using recouping fund thanks
454,united common keep paper work ready dont delay flights1585and meeting choosechicago
455,united yep thats correct got email 1230 flight cancelled flightled doesnt matter flight atl delayed thx
456,united 1k problem getting fll iah sent dm making connection please let know
457,united thanks sent
458,united im grounded montreal ua3659 missing connection ua3417 st louis helpdo private jet
459,united im frustrated nervous
460,united one make difficult
461,united im child im someone issue flying prepares ahead time reduce distress caused plane
462,united get cancelled flightled 10 hour take
463,united always happens guy make traveling incredibly stressful uncomfortable good business
464,united someone severe anxiety one person help isnt next
465,united im seeking go 2 client bc u cant get need refund filled form confident work past indication
466,united unrivalled access california flight u 7 uk airport nonstop onestop connection yearround
467,united luckily made flight time disappointed lack communication
468,united checking see flight 3466 atlord got cancelled flighted
469,united service far horrid wanted end trip high note guess thats option
470,united booked flight home 7 month ago requested seat together fiancée got 2 middle seat unacceptable
471,united guy horrible
472,united thnx info
473,united pay 17 wifi international business ticket pennypincher
474,united ok top thing youve lost luggage could get worse unitedairlines
475,united kudos cancelled flightling flight dfw morning united usually first panic
476,united luggage broken youcouldntmakethis brokenwheel
477,united maybe one day youll one quoted httptcomjkpgvxmpc
478,united flight delayedno one remembered turn heat flight 559 leaving ordseriously
479,united another awesome new plane flight 1584 extremely nice captain steve connolly
480,united speak real person get resolved politely efficiently 22
481,united hadnt filed refund claim told charge dm disputed bank hence would like12
482,united bag make flight iad second day without clothes pretty inconvenient pretty curious unitedairlines
483,united every united flight saipan guam adventure never know capeairs old plane operational
484,united hence ive asking customer service phone number speak real person get sorted
485,united bag leave washington yet would convenient seeing left day ago unitedairlines lostluggage
486,united according dm im owed refund please may provided contact number go bank file claim
487,united 3 hour ago need work bag make hotel time need go elsewhere
488,united pls properly train agent requested speak 1k customer service amp transferred dead end even open hr
489,united thanks remembering load bag onto connecting flight oh wait forgot iceland fun clothes
490,united thank cheese platter abundance entertainment option time flew
491,united customer service atrocious disrupted travel plan lost luggage impossible talk human
492,united terminal mia food open 5am esp flight 6am two hour early like recommended cant eat
493,united ua flight 1001 im currently stuck portland missed ride 3 hour delay getmartyhome
494,united responded various request contact number anyone know uk customer service number unitedairlines
495,united looking getting bag lusaka
496,united could update suitcase please online phone tracking told nothing told id back yesterday
497,united thank trying two day set
498,united 1 last thing u guy shouldnt charging drink transatlantic flight
499,united lhr arrival lounge fail waited 20 min shower left find hotel u know many passenger u carry planning
500,united completed form doubt use ua doesnt care 6 day vacation 5 sure ua wont feel responsibility
501,united definitely compliment really thought bag lost sent another airport end happy customer
502,united thanx much followed emailed 1000 ticket voucher unitedairlines care
503,united definitely trip remember ewrsti second season first seat 35a pay loyal
504,united nope told u time go home sleep airport even though assured u would get room
505,united back expensive holiday worked year pay ruined want compensation amp original case back
506,united thanks united understand would actually like bag back done also want money
